Source: Tourism Research Australia,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
Regions by quarter,,,,,
Region,Year,March quarter expenditure ($M),June quarter expenditure ($M),September quarter expenditure ($M),December quarter expenditure ($M)
Adelaide,Year ending December 2019,1242,926,1067,1286
Adelaide,Year ending December 2020,1132,176,270,498
Adelaide,% change,-0.08856682769726243,-0.8099352051835853,-0.7469540768509841,-0.6127527216174183
Adelaide Hills,Year ending December 2019,49,58,41,59
Adelaide Hills,Year ending December 2020,57,NP,30,34
Adelaide Hills,% change,0.16326530612244894,NP,-0.2682926829268293,-0.423728813559322
Alice Springs,Year ending December 2019,65,135,155,74
Alice Springs,Year ending December 2020,57,NP,NP,NP
Alice Springs,% change,-0.12307692307692308,NP,NP,NP
Australia's Coral Coast,Year ending December 2019,194,217,333,185
Australia's Coral Coast,Year ending December 2020,166,78,371,219
Australia's Coral Coast,% change,-0.14432989690721654,-0.6405529953917051,0.1141141141141142,0.18378378378378368
Australia's Golden Outback,Year ending December 2019,220,271,217,314
Australia's Golden Outback,Year ending December 2020,170,182,169,205
Australia's Golden Outback,% change,-0.2272727272727273,-0.3284132841328413,-0.2211981566820277,-0.3471337579617835
Australia's North West,Year ending December 2019,320,375,573,338
Australia's North West,Year ending December 2020,292,178,382,261
Australia's North West,% change,-0.08750000000000002,-0.5253333333333333,-0.33333333333333337,-0.22781065088757402
Australia's South West,Year ending December 2019,733,582,505,567
Australia's South West,Year ending December 2020,637,248,584,693
Australia's South West,% change,-0.13096862210095495,-0.5738831615120275,0.15643564356435635,0.22222222222222232
Ballarat,Year ending December 2019,169,170,148,124
Ballarat,Year ending December 2020,110,62,NP,121
Ballarat,% change,-0.34911242603550297,-0.6352941176470588,NP,-0.024193548387096753
Barkly,Year ending December 2019,NP,NP,33,NP
Barkly,Year ending December 2020,NP,NP,NP,NP
Barkly,% change,NP,NP,NP,NP
Barossa,Year ending December 2019,57,69,44,58
Barossa,Year ending December 2020,46,NP,65,62
Barossa,% change,-0.19298245614035092,NP,0.4772727272727273,0.06896551724137923
Bendigo Loddon,Year ending December 2019,181,199,147,233
Bendigo Loddon,Year ending December 2020,181,50,33,117
Bendigo Loddon,% change,0,-0.7487437185929648,-0.7755102040816326,-0.49785407725321884
Blue Mountains,Year ending December 2019,160,249,213,174
Blue Mountains,Year ending December 2020,160,56,170,149
Blue Mountains,% change,0,-0.7751004016064257,-0.2018779342723005,-0.14367816091954022
Brisbane,Year ending December 2019,2653,2151,2689,2900
Brisbane,Year ending December 2020,2153,411,918,1493
Brisbane,% change,-0.18846588767433092,-0.8089260808926081,-0.6586091483822982,-0.4851724137931035
Bundaberg,Year ending December 2019,127,107,138,137
Bundaberg,Year ending December 2020,147,39,99,84
Bundaberg,% change,0.15748031496062986,-0.6355140186915889,-0.28260869565217395,-0.3868613138686131
Canberra,Year ending December 2019,612,767,797,652
Canberra,Year ending December 2020,529,115,233,407
Canberra,% change,-0.1356209150326797,-0.8500651890482399,-0.7076537013801756,-0.3757668711656442
Capital Country,Year ending December 2019,246,268,240,213
Capital Country,Year ending December 2020,205,118,153,283
Capital Country,% change,-0.16666666666666663,-0.5597014925373134,-0.36250000000000004,0.32863849765258224
Capricorn,Year ending December 2019,169,267,284,229
Capricorn,Year ending December 2020,132,102,172,213
Capricorn,% change,-0.21893491124260356,-0.6179775280898876,-0.3943661971830986,-0.06986899563318782
Central Coast,Year ending December 2019,362,260,232,265
Central Coast,Year ending December 2020,328,56,206,283
Central Coast,% change,-0.09392265193370164,-0.7846153846153846,-0.11206896551724133,0.06792452830188678
Central Highlands,Year ending December 2019,43,48,49,58
Central Highlands,Year ending December 2020,45,NP,NP,54
Central Highlands,% change,0.04651162790697683,NP,NP,-0.06896551724137934
Central Murray,Year ending December 2019,146,143,97,186
Central Murray,Year ending December 2020,170,NP,NP,76
Central Murray,% change,0.1643835616438356,NP,NP,-0.5913978494623655
Central NSW,Year ending December 2019,435,503,546,475
Central NSW,Year ending December 2020,334,198,406,576
Central NSW,% change,-0.232183908045977,-0.606361829025845,-0.2564102564102564,0.2126315789473685
Clare Valley,Year ending December 2019,NP,24,29,50
Clare Valley,Year ending December 2020,NP,NP,NP,NP
Clare Valley,% change,NP,NP,NP,NP
Darwin,Year ending December 2019,179,312,391,293
Darwin,Year ending December 2020,173,32,125,116
Darwin,% change,-0.03351955307262566,-0.8974358974358975,-0.6803069053708439,-0.6040955631399317
Destination Perth,Year ending December 2019,1909,1712,1928,1883
Destination Perth,Year ending December 2020,1729,375,857,945
Destination Perth,% change,-0.09429020429544266,-0.7809579439252337,-0.5554979253112033,-0.4981412639405205
East Coast,Year ending December 2019,91,74,37,65
East Coast,Year ending December 2020,119,NP,63,81
East Coast,% change,0.3076923076923077,NP,0.7027027027027026,0.24615384615384617
Eyre Peninsula,Year ending December 2019,167,174,87,116
Eyre Peninsula,Year ending December 2020,80,NP,40,125
Eyre Peninsula,% change,-0.5209580838323353,NP,-0.5402298850574713,0.07758620689655182
Fleurieu Peninsula,Year ending December 2019,203,116,100,141
Fleurieu Peninsula,Year ending December 2020,201,61,93,140
Fleurieu Peninsula,% change,-0.009852216748768461,-0.47413793103448276,-0.06999999999999995,-0.007092198581560294
Flinders Ranges and Outback,Year ending December 2019,79,133,188,110
Flinders Ranges and Outback,Year ending December 2020,59,55,134,100
Flinders Ranges and Outback,% change,-0.25316455696202533,-0.5864661654135339,-0.2872340425531915,-0.09090909090909094
Fraser Coast,Year ending December 2019,116,103,176,139
Fraser Coast,Year ending December 2020,148,NP,93,134
Fraser Coast,% change,0.27586206896551735,NP,-0.47159090909090906,-0.03597122302158273
Geelong and the Bellarine,Year ending December 2019,376,229,253,278
Geelong and the Bellarine,Year ending December 2020,312,124,49,154
Geelong and the Bellarine,% change,-0.17021276595744683,-0.4585152838427947,-0.8063241106719368,-0.4460431654676259
Gippsland,Year ending December 2019,218,170,138,202
Gippsland,Year ending December 2020,232,65,64,171
Gippsland,% change,0.06422018348623859,-0.6176470588235294,-0.536231884057971,-0.1534653465346535
Gladstone,Year ending December 2019,85,76,74,84
Gladstone,Year ending December 2020,85,NP,114,128
Gladstone,% change,0,NP,0.5405405405405406,0.5238095238095237
Gold Coast,Year ending December 2019,1470,1435,1447,1597
Gold Coast,Year ending December 2020,1288,151,524,759
Gold Coast,% change,-0.12380952380952381,-0.894773519163763,-0.6378714581893573,-0.5247338760175329
Goulburn,Year ending December 2019,123,110,100,119
Goulburn,Year ending December 2020,85,28,43,103
Goulburn,% change,-0.3089430894308943,-0.7454545454545455,-0.5700000000000001,-0.134453781512605
Great Ocean Road,Year ending December 2019,564,362,279,369
Great Ocean Road,Year ending December 2020,607,75,88,291
Great Ocean Road,% change,0.07624113475177308,-0.7928176795580111,-0.6845878136200717,-0.21138211382113825
High Country,Year ending December 2019,271,267,495,232
High Country,Year ending December 2020,183,49,84,176
High Country,% change,-0.32472324723247237,-0.8164794007490637,-0.8303030303030303,-0.24137931034482762
Hobart and the South,Year ending December 2019,640,547,408,587
Hobart and the South,Year ending December 2020,649,57,122,247
Hobart and the South,% change,0.014062500000000089,-0.8957952468007313,-0.7009803921568627,-0.5792163543441227
Hunter,Year ending December 2019,853,745,754,823
Hunter,Year ending December 2020,642,190,543,751
Hunter,% change,-0.24736225087924968,-0.7449664429530201,-0.27984084880636606,-0.0874848116646415
Kangaroo Island,Year ending December 2019,74,31,30,53
Kangaroo Island,Year ending December 2020,62,NP,NP,NP
Kangaroo Island,% change,-0.16216216216216217,NP,NP,NP
Katherine Daly,Year ending December 2019,NP,37,102,36
Katherine Daly,Year ending December 2020,29,NP,NP,NP
Katherine Daly,% change,NP,NP,NP,NP
Lakes,Year ending December 2019,148,84,55,105
Lakes,Year ending December 2020,167,58,NP,95
Lakes,% change,0.1283783783783783,-0.30952380952380953,NP,-0.09523809523809523
Lasseter,Year ending December 2019,86,124,175,168
Lasseter,Year ending December 2020,51,-,NP,NP
Lasseter,% change,-0.40697674418604646,NP,NP,NP
Launceston and the North,Year ending December 2019,347,232,193,244
Launceston and the North,Year ending December 2020,263,NP,94,123
Launceston and the North,% change,-0.24207492795389052,NP,-0.5129533678756477,-0.49590163934426235
Limestone Coast,Year ending December 2019,141,97,103,81
Limestone Coast,Year ending December 2020,112,56,101,86
Limestone Coast,% change,-0.2056737588652482,-0.4226804123711341,-0.01941747572815533,0.06172839506172845
Litchfield Kakadu Arnhem,Year ending December 2019,42,101,87,39
Litchfield Kakadu Arnhem,Year ending December 2020,31,NP,42,NP
Litchfield Kakadu Arnhem,% change,-0.26190476190476186,NP,-0.5172413793103448,NP
MacDonnell,Year ending December 2019,NP,NP,30,NP
MacDonnell,Year ending December 2020,NP,NP,NP,NP
MacDonnell,% change,NP,NP,NP,NP
Macedon,Year ending December 2019,50,58,55,50
Macedon,Year ending December 2020,61,18,NP,25
Macedon,% change,0.21999999999999997,-0.6896551724137931,NP,-0.5
Mackay,Year ending December 2019,137,194,168,159
Mackay,Year ending December 2020,128,105,155,117
Mackay,% change,-0.06569343065693434,-0.4587628865979382,-0.07738095238095233,-0.26415094339622647
Mallee,Year ending December 2019,121,134,143,132
Mallee,Year ending December 2020,102,NP,NP,82
Mallee,% change,-0.15702479338842978,NP,NP,-0.3787878787878788
Melbourne,Year ending December 2019,5739,4184,5365,5035
Melbourne,Year ending December 2020,4883,348,136,842
Melbourne,% change,-0.1491549050357205,-0.9168260038240917,-0.9746505125815471,-0.8327706057596822
Melbourne East,Year ending December 2019,182,217,178,196
Melbourne East,Year ending December 2020,136,34,17,73
Melbourne East,% change,-0.25274725274725274,-0.8433179723502304,-0.9044943820224719,-0.6275510204081632
Murray East,Year ending December 2019,NP,49,NP,NP
Murray East,Year ending December 2020,NP,NP,NP,NP
Murray East,% change,NP,NP,NP,NP
"Murray River, Lakes and Coorong",Year ending December 2019,111,49,60,60
"Murray River, Lakes and Coorong",Year ending December 2020,56,NP,25,42
"Murray River, Lakes and Coorong",% change,-0.49549549549549554,NP,-0.5833333333333333,-0.30000000000000004
New England North West,Year ending December 2019,229,314,290,272
New England North West,Year ending December 2020,205,99,177,214
New England North West,% change,-0.10480349344978168,-0.6847133757961783,-0.3896551724137931,-0.21323529411764708
North Coast NSW,Year ending December 2019,1408,1196,1254,1316
North Coast NSW,Year ending December 2020,1430,239,663,1383
North Coast NSW,% change,0.015625,-0.8001672240802675,-0.4712918660287081,0.050911854103343535
North West,Year ending December 2019,146,102,128,135
North West,Year ending December 2020,148,NP,97,65
North West,% change,0.013698630136986356,NP,-0.2421875,-0.5185185185185186
Not allocated to Australia,Year ending December 2019,3631,2367,2727,3825
Not allocated to Australia,Year ending December 2020,2607,10,48,86
Not allocated to Australia,% change,-0.2820159735610025,-0.9957752429235319,-0.9823982398239824,-0.977516339869281
Not allocated to State/Territory,Year ending December 2019,452,253,325,362
Not allocated to State/Territory,Year ending December 2020,475,5,7,19
Not allocated to State/Territory,% change,0.05088495575221241,-0.9802371541501976,-0.9784615384615385,-0.9475138121546961
Offshore and Migratory NSW,Year ending December 2019,0,-,3,21
Offshore and Migratory NSW,Year ending December 2020,5,-,-,-
Offshore and Migratory NSW,% change,NP,NP,NP,NP
Offshore and Migratory NT,Year ending December 2019,-,0,-,0
Offshore and Migratory NT,Year ending December 2020,-,-,-,1
Offshore and Migratory NT,% change,NP,NP,NP,NP
Offshore and Migratory QLD,Year ending December 2019,0,0,6,0
Offshore and Migratory QLD,Year ending December 2020,2,-,0,1
Offshore and Migratory QLD,% change,NP,NP,-1,NP
Offshore and Migratory SA,Year ending December 2019,-,-,-,0
Offshore and Migratory SA,Year ending December 2020,0,-,-,-
Offshore and Migratory SA,% change,NP,NP,NP,NP
Offshore and Migratory TAS,Year ending December 2019,0,-,-,3
Offshore and Migratory TAS,Year ending December 2020,-,-,-,-
Offshore and Migratory TAS,% change,NP,NP,NP,NP
Offshore and Migratory VIC,Year ending December 2019,0,-,-,0
Offshore and Migratory VIC,Year ending December 2020,1,-,-,1
Offshore and Migratory VIC,% change,NP,NP,NP,NP
Offshore and Migratory WA,Year ending December 2019,17,20,12,3
Offshore and Migratory WA,Year ending December 2020,5,-,2,5
Offshore and Migratory WA,% change,-0.7058823529411764,NP,-0.8333333333333334,0.6666666666666667
Other Territories,Year ending December 2019,0,0,-,-
Other Territories,Year ending December 2020,-,-,-,-
Other Territories,% change,NP,NP,NP,NP
Outback NSW,Year ending December 2019,104,109,135,87
Outback NSW,Year ending December 2020,NP,NP,127,92
Outback NSW,% change,NP,NP,-0.059259259259259234,0.05747126436781613
Outback Queensland,Year ending December 2019,168,296,220,210
Outback Queensland,Year ending December 2020,114,99,188,153
Outback Queensland,% change,-0.3214285714285714,-0.6655405405405406,-0.1454545454545455,-0.27142857142857146
Peninsula,Year ending December 2019,521,259,213,381
Peninsula,Year ending December 2020,423,73,30,199
Peninsula,% change,-0.18809980806142035,-0.7181467181467182,-0.8591549295774648,-0.4776902887139107
Phillip Island,Year ending December 2019,194,129,97,156
Phillip Island,Year ending December 2020,146,59,NP,73
Phillip Island,% change,-0.24742268041237114,-0.5426356589147288,NP,-0.532051282051282
Riverina,Year ending December 2019,120,180,206,203
Riverina,Year ending December 2020,174,53,157,233
Riverina,% change,0.44999999999999996,-0.7055555555555555,-0.23786407766990292,0.14778325123152714
Riverland,Year ending December 2019,57,46,44,48
Riverland,Year ending December 2020,54,NP,47,NP
Riverland,% change,-0.052631578947368474,NP,0.06818181818181812,NP
Snowy Mountains,Year ending December 2019,113,100,477,110
Snowy Mountains,Year ending December 2020,110,46,337,101
Snowy Mountains,% change,-0.026548672566371723,-0.54,-0.29350104821802936,-0.08181818181818179
South Coast,Year ending December 2019,1070,709,735,742
South Coast,Year ending December 2020,838,263,496,801
South Coast,% change,-0.2168224299065421,-0.6290550070521862,-0.32517006802721093,0.07951482479784366
Southern Queensland Country,Year ending December 2019,314,331,403,328
Southern Queensland Country,Year ending December 2020,243,166,289,288
Southern Queensland Country,% change,-0.2261146496815286,-0.49848942598187307,-0.28287841191067,-0.12195121951219512
Spa Country,Year ending December 2019,61,99,92,68
Spa Country,Year ending December 2020,67,NP,NP,58
Spa Country,% change,0.09836065573770503,NP,NP,-0.1470588235294118
Sunshine Coast,Year ending December 2019,999,833,905,990
Sunshine Coast,Year ending December 2020,915,213,625,861
Sunshine Coast,% change,-0.08408408408408408,-0.744297719087635,-0.30939226519337015,-0.13030303030303025
Sydney,Year ending December 2019,6365,4992,5854,5596
Sydney,Year ending December 2020,4707,463,802,1578
Sydney,% change,-0.2604870384917518,-0.9072516025641025,-0.8629996583532628,-0.7180128663330951
The Murray,Year ending December 2019,225,181,249,215
The Murray,Year ending December 2020,186,93,84,118
The Murray,% change,-0.17333333333333334,-0.4861878453038674,-0.6626506024096386,-0.4511627906976744
Total,Year ending December 2019,40480,34056,38807,39067
Total,Year ending December 2020,34170,6639,13426,19880
Total,% change,-0.15587944664031617,-0.8050563777307963,-0.654031489164326,-0.4911306217523741
Townsville,Year ending December 2019,244,242,327,313
Townsville,Year ending December 2020,227,73,161,207
Townsville,% change,-0.069672131147541,-0.6983471074380165,-0.5076452599388379,-0.3386581469648562
Tropical North Queensland,Year ending December 2019,708,867,1328,1064
Tropical North Queensland,Year ending December 2020,633,128,532,618
Tropical North Queensland,% change,-0.10593220338983056,-0.8523644752018454,-0.5993975903614458,-0.4191729323308271
Upper Yarra,Year ending December 2019,38,42,35,25
Upper Yarra,Year ending December 2020,33,8,2,19
Upper Yarra,% change,-0.13157894736842102,-0.8095238095238095,-0.9428571428571428,-0.24
West Coast,Year ending December 2019,30,NP,NP,35
West Coast,Year ending December 2020,34,NP,NP,NP
West Coast,% change,0.1333333333333333,NP,NP,NP
Western Grampians,Year ending December 2019,40,61,47,52
Western Grampians,Year ending December 2020,65,NP,NP,NP
Western Grampians,% change,0.625,NP,NP,NP
Whitsundays,Year ending December 2019,168,156,285,211
Whitsundays,Year ending December 2020,203,NP,138,326
Whitsundays,% change,0.20833333333333326,NP,-0.5157894736842106,0.5450236966824644
Wimmera,Year ending December 2019,NP,NP,NP,87
Wimmera,Year ending December 2020,39,NP,NP,NP
Wimmera,% change,NP,NP,NP,NP
Yorke Peninsula,Year ending December 2019,59,46,66,68
Yorke Peninsula,Year ending December 2020,68,28,49,65
Yorke Peninsula,% change,0.15254237288135597,-0.3913043478260869,-0.25757575757575757,-0.044117647058823484
